Year,race,Adams,Alexander,Bond,Boone,Brown,Bureau,Calhoun,Carroll,Cass,Champaign,Christian,Clark,Clay,Clinton,Coles,Crawford,Cumberland,Dekalb,Dewitt,Douglas,Dupage,Edgar,Edwards,Effingham,Fayette,Ford,Franklin,Fulton,Gallatin,Greene,Grundy,Hamilton,Hancock,Hardin,Henderson,Henry,Iroquois,Jackson,Jasper,Jefferson,Jersey,Jo daviess,Johnson,Kane,Kankakee,Kendall,Knox,Lake,Lasalle,Lawrence,Lee,Livingston,Logan,Macon,Macoupin,Madison,Marion,Marshall,Mason,Massac,Mcdonough,Mchenry,Mclean,Menard,Mercer,Monroe,Montgomery,Morgan,Moultrie,Non county agencies,Ogle,Peoria,Perry,Piatt,Pike,Pope,Pulaski,Putnam,Randolph,Richland,Rock island,Saline,Sangamon,Schuyler,Scott,Shelby,St. clair,Stark,Stephenson,Tazewell,Union,Vermilion,Wabash,Warren,Washington,Wayne,White,Whiteside,Will,Williamson,Winnebago,Woodford,Cook
2005,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2005,Native American,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,189
2005,White,894,55,242,684,146,654,128,340,155,2665,582,337,290,595,1273,471,269,1952,359,302,14726,450,77,1242,443,238,995,770,53,110,879,48,309,102,150,710,671,744,100,896,729,473,204,11374,1853,2181,1052,12558,3169,544,813,1367,935,1291,619,6214,779,264,428,534,1197,6994,2407,182,484,609,838,911,173,61,1328,3943,715,222,433,41,348,105,625,221,2868,717,3867,149,16,497,2555,91,874,2521,452,1255,305,328,330,164,750,1267,5975,1485,5899,824,82863
2006,Black,181,167,25,58,6,46,0,11,18,2601,23,6,0,44,175,14,0,524,16,24,3188,0,0,126,46,14,13,48,0,0,57,0,0,0,14,164,174,618,0,432,19,36,17,3533,1414,201,394,4188,347,28,80,247,88,1250,29,2288,257,12,6,116,123,380,1370,17,18,41,56,328,11,110,88,4719,105,6,50,0,193,0,78,13,1481,90,2784,6,0,6,2844,0,636,392,25,881,6,53,25,0,33,161,3439,217,3121,240,102332
2006,Asian,6,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,14,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,122,0,6,0,153,6,0,0,6,0,0,0,27,0,0,0,0,0,18,30,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,10,0,0,0,12,0,0,11,0,0,0,0,0,0,0,0,43,0,31,10,1434
2006,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2006,Native American,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,0,157
2006,White,894,70,204,860,182,575,121,292,210,2564,518,318,248,543,1317,537,242,2320,381,299,15417,258,32,1092,456,227,1068,825,30,126,917,36,313,85,168,762,595,987,103,761,563,438,215,11863,1909,1927,998,11976,3170,494,915,1111,837,1248,584,6214,850,266,390,458,1076,7104,2659,287,490,594,933,1054,178,106,1062,3843,759,220,464,34,289,100,674,392,3186,579,3950,148,14,530,2563,79,880,3333,252,1470,334,405,295,166,743,1297,6568,1560,5549,935,80456
2007,Black,210,171,27,72,0,41,6,14,11,2774,22,6,10,41,147,6,6,652,17,23,3008,6,0,157,57,11,22,36,0,6,51,0,6,0,6,153,135,819,0,385,26,49,12,3550,1490,249,343,4577,397,13,121,232,85,1346,37,2430,214,11,6,125,104,340,1438,17,14,44,50,350,6,58,83,4537,115,12,40,0,242,6,139,16,1730,124,3102,0,0,0,2564,0,652,313,14,821,11,55,25,0,24,180,3527,181,1610,261,103294
2007,Asian,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,12,0,0,229,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,128,6,6,0,178,6,0,0,0,0,6,0,29,0,0,0,15,6,35,33,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,6,0,25,0,0,0,23,0,0,13,0,0,0,0,0,0,0,0,41,6,30,6,1547
